"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
2295-9149,,Agrh,FALSE,reviewer,Université de Paris Descartes,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-agrh1.htm?contenu=apropos,association : Association de Gestion des Ressources Humaines,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
1968-3766,,Bulletin de psychologie,FALSE,editorial board,Université Paris Descartes ; Université Diderot-Paris 7,Santé,Health,3,https://www.cairn.info/revue-bulletin-de-psychologie.htm?contenu=apropos,association : Groupe d'études de psychologie,Cairn,,Subscription,dons,,2022-03-04,catalogue Cairn
2100-0670,,Cliopsy,FALSE,editorial board,"EDA, université de Paris",Sociétés et Humanités ,HSS,1,https://www.cairn.info/revue-cliopsy.htm?contenu=apropos,association : Cliopsy,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
2553-6087,,Corps & psychisme,FALSE,editorial board,"Institut de psychologie, Université Paris V",Santé,Health,1,https://www.cairn.info/revue-corps-et-psychisme.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
1777-554X,,Critique internationale,FALSE,editorial board,"CESSMA, université Paris ; Université Paris Descartes",Sociétés et Humanités,HSS,2,https://www.cairn.info/revue-critique-internationale.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
2235-2090,,Devenir,FALSE,reviewer,"Université Paris Descartes, Laboratoire Psychopathologie et Processus de Santé (EA4057) ; Université Paris Diderot ; Université Paris Descartes ",Santé,Health,3,https://www.cairn.info/revue-devenir.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
2558-1465,,La Pensée écologique,FALSE,editorial board,"LADYSS, Paris 7 Diderot",Sociétés et Humanités ,HSS,1,https://lapenseeecologique.com/le-comite-scientifique/,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
2107-0857,,Le français aujourd'hui,FALSE,editorial board ; reviewer,Université de Paris,Sociétés et Humanités,HSS,2,https://www.cairn.info/revue-le-francais-aujourd-hui.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
2118-2191,,Le Télémaque,FALSE,reviewer,Université de Paris V,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-le-telemaque.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
1968-3928,,Les Cahiers du genre,FALSE,reviewer,"université Paris Diderot, LCSP ; université de Paris, Centre d’histoire du XIXe siècle",Sociétés et Humanités,HSS,2,https://cahiersdugenre.cnrs.fr/la-redaction/,,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
