"editor
in
chief",main_subject,"nb 
personne",model_eco,"APC 
montant
€",publisher_1,org_type,title host
False,Health,3.0,Subscription,,Cairn,association,Bulletin de psychologie
False,HSS,1.0,Subscription,,Cairn,association,Cliopsy
False,HSS,1.0,Subscription,,Cairn,association,Les Etudes sociales
True,HSS,3.0,Subscription,,Cairn,association,Migrations Société
False,Health,1.0,Subscription,,Cairn,association,Psychosomatique relationnelle
False,HSS,4.0,Subscription,,Cairn,institut,Recherches familiales
False,HSS,1.0,Subscription,,Cairn,association,RECMA
False,HSS,3.0,Subscription,,Cairn,laboratoire,L'Espace géographique
False,HSS,2.0,Subscription,,Cairn,institut,Agora Débats/Jeunesses
False,ST,1.0,Gold APC,2779.0,Elsevier,association,Chemical Geology
False,Health,2.0,Hybride,3190.0,Elsevier,association,Anaesthesia Critical Care & Pain Medicine
False,Health,2.0,Hybride,2000.0,Elsevier,association,Anesthésie & Réanimation
False,Health,2.0,Hybride,2350.0,Elsevier,association,Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale
False,ST,1.0,Hybride,4350.0,Elsevier,association,Annals of Physical and Rehabilitation Medicine
False,Health,1.0,Hybride,2000.0,Elsevier,association,Cahiers de Nutrition et de Diététique
True,Health,1.0,Hybride,3250.0,Elsevier,association,Diagnostic and Interventional Imaging
True,HSS,6.0,Hybride,3170.0,Elsevier,association,"European Annals of Otorhinolaryngology, Head and Neck Diseases"
False,Health,3.0,Hybride,2630.0,Elsevier,association,Gynécologie Obstétrique Fertilité & Sénologie
False,Health,1.0,Hybride,2600.0,Elsevier,association,International Orthodontics
False,Health,1.0,Hybride,1780.0,Elsevier,association,Journal d'imagerie diagnostique et interventionnelle
False,Health,1.0,Hybride,2580.0,Elsevier,association,Journal of Gynecology Obstetrics and Human Reproduction
False,Health,1.0,Hybride,2360.0,Elsevier,association,La Revue de Médecine Légale
False,Health,1.0,Hybride,1800.0,Elsevier,association,Médecine Nucléaire
False,Health,1.0,Hybride,2600.0,Elsevier,association,Revue du Rhumatisme
False,Health,1.0,Hybride,2000.0,Elsevier,association,Toxicologie Analytique et Clinique
False,Health,2.0,Subscription,,Elsevier,association,Medecine et Maladies Infectieuses Formation
False,HSS,1.0,Subscription,,Elsevier,association,Psychologie Française
False,Health,1.0,Subscription,,Elsevier,association,Revue des Maladies Respiratoires
True,HSS,1.0,Subscription,,OpenEdition,association,Economie rurale
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,"Amnis, Revue d’études des sociétés et cultures contemporaines Europe/Amérique"
True,HSS,3.0,Diamond,,OpenEdition,association,Anthropologie & Santé
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,"Apparence(s), histoire et culture du paraître"
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,Cahiers de l'URMIS
False,HSS,2.0,Diamond,,OpenEdition,laboratoire,Carnets de géographes
True,HSS,2.0,Diamond,,OpenEdition,association,Cognitextes
True,HSS,1.0,Diamond,,OpenEdition,laboratoire,Continents Manuscrits
False,HSS,1.0,Diamond,,OpenEdition,association,Développement durable & territoires
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,Echogéo
False,Health,2.0,Diamond,,OpenEdition,laboratoire,Face à face
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,"Genre, sexualité et société"
False,HSS,1.0,Diamond,,OpenEdition,GIS,"IdeAs, Idées d'Amériques"
False,HSS,2.0,Diamond,,OpenEdition,laboratoire,Images re-vues
False,HSS,2.0,Diamond,,OpenEdition,association,Journal des Africanistes
True,ST,5.0,Diamond,,OpenEdition,laboratoire,Mathématiques et sciences humaines
False,HSS,1.0,Diamond,,OpenEdition,laboratoire,Nuevo mundo mundos nuevos
False,HSS,1.0,Diamond,,OpenEdition,association,OEconomia
False,HSS,1.0,Diamond,,OpenEdition,association,Transatlantica
False,HSS,1.0,Diamond,,OpenEdition,association,XVII-XVIII
True,HSS,2.0,Diamond,,OpenEdition,association,Artefact
False,HSS,1.0,Diamond,,OpenEdition,association,Revue de géographie alpine
True,Health,1.0,Hybride,2030.0,Elsevier,association,Journal de Chirurgie Viscérale
False,Health,1.0,Gold APC,2190.0,BioMedCentral,association,Basic and Clinical Andrology
False,ST,1.0,Gold APC,1690.0,BioMedCentral,laboratoire,Journal of Cannabis Research
False,HSS,1.0,Hybride,2297.0,Brill,laboratoire,Cahiers de Linguistique Asie Orientale
False,HSS,1.0,Hybride,2297.0,Brill,association,Erasmus Studies
