main_subject,"nb 
personne",model_eco,"APC 
montant
€",publisher_1,org_type,title host
Health,3.0,Subscription,,Cairn,association,Bulletin de psychologie
HSS,1.0,Subscription,,Cairn,association,Cliopsy
HSS,1.0,Subscription,,Cairn,association,Les Etudes sociales
HSS,3.0,Subscription,,Cairn,association,Migrations Société
Health,1.0,Subscription,,Cairn,association,Psychosomatique relationnelle
HSS,4.0,Subscription,,Cairn,institut,Recherches familiales
HSS,1.0,Subscription,,Cairn,association,RECMA
HSS,3.0,Subscription,,Cairn,laboratoire,L'Espace géographique
HSS,2.0,Subscription,,Cairn,institut,Agora Débats/Jeunesses
ST,1.0,Gold APC,2779.0,Elsevier,association,Chemical Geology
Health,2.0,Hybride,3190.0,Elsevier,association,Anaesthesia Critical Care & Pain Medicine
Health,2.0,Hybride,2000.0,Elsevier,association,Anesthésie & Réanimation
Health,2.0,Hybride,2350.0,Elsevier,association,Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale
ST,1.0,Hybride,4350.0,Elsevier,association,Annals of Physical and Rehabilitation Medicine
Health,1.0,Hybride,2000.0,Elsevier,association,Cahiers de Nutrition et de Diététique
Health,1.0,Hybride,3250.0,Elsevier,association,Diagnostic and Interventional Imaging
HSS,6.0,Hybride,3170.0,Elsevier,association,"European Annals of Otorhinolaryngology, Head and Neck Diseases"
Health,3.0,Hybride,2630.0,Elsevier,association,Gynécologie Obstétrique Fertilité & Sénologie
Health,1.0,Hybride,2600.0,Elsevier,association,International Orthodontics
Health,1.0,Hybride,1780.0,Elsevier,association,Journal d'imagerie diagnostique et interventionnelle
Health,1.0,Hybride,2580.0,Elsevier,association,Journal of Gynecology Obstetrics and Human Reproduction
Health,1.0,Hybride,2360.0,Elsevier,association,La Revue de Médecine Légale
Health,1.0,Hybride,1800.0,Elsevier,association,Médecine Nucléaire
Health,1.0,Hybride,2600.0,Elsevier,association,Revue du Rhumatisme
Health,1.0,Hybride,2000.0,Elsevier,association,Toxicologie Analytique et Clinique
Health,2.0,Subscription,,Elsevier,association,Medecine et Maladies Infectieuses Formation
HSS,1.0,Subscription,,Elsevier,association,Psychologie Française
Health,1.0,Subscription,,Elsevier,association,Revue des Maladies Respiratoires
HSS,1.0,Subscription,,OpenEdition,association,Economie rurale
HSS,1.0,Diamond,,OpenEdition,laboratoire,"Amnis, Revue d’études des sociétés et cultures contemporaines Europe/Amérique"
HSS,3.0,Diamond,,OpenEdition,association,Anthropologie & Santé
HSS,1.0,Diamond,,OpenEdition,laboratoire,"Apparence(s), histoire et culture du paraître"
HSS,1.0,Diamond,,OpenEdition,laboratoire,Appartenances & Altérités
HSS,2.0,Diamond,,OpenEdition,laboratoire,Carnets de géographes
HSS,2.0,Diamond,,OpenEdition,association,Cognitextes
HSS,1.0,Diamond,,OpenEdition,laboratoire,Continents Manuscrits
HSS,1.0,Diamond,,OpenEdition,association,Développement durable & territoires
HSS,1.0,Diamond,,OpenEdition,laboratoire,Echogéo
Health,2.0,Diamond,,OpenEdition,laboratoire,Face à face
HSS,1.0,Diamond,,OpenEdition,laboratoire,"Genre, sexualité et société"
HSS,1.0,Diamond,,OpenEdition,GIS,"IdeAs, Idées d'Amériques"
HSS,2.0,Diamond,,OpenEdition,laboratoire,Images re-vues
HSS,2.0,Diamond,,OpenEdition,association,Journal des Africanistes
ST,5.0,Diamond,,OpenEdition,laboratoire,Mathématiques et sciences humaines
HSS,1.0,Diamond,,OpenEdition,laboratoire,Nuevo mundo mundos nuevos
HSS,1.0,Diamond,,OpenEdition,association,OEconomia
HSS,1.0,Diamond,,OpenEdition,association,Transatlantica
HSS,1.0,Diamond,,OpenEdition,association,XVII-XVIII
HSS,2.0,Diamond,,OpenEdition,association,Artefact
HSS,1.0,Diamond,,OpenEdition,association,Revue de géographie alpine
Health,1.0,Hybride,2030.0,Elsevier,association,Journal de Chirurgie Viscérale
Health,1.0,Gold APC,2190.0,BioMedCentral,association,Basic and Clinical Andrology
ST,1.0,Gold APC,1690.0,BioMedCentral,laboratoire,Journal of Cannabis Research
HSS,1.0,Hybride,2297.0,Brill,laboratoire,Cahiers de Linguistique Asie Orientale
